,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
486,Bridging Divides- Lean Left,34,1,Beto O’Rourke to run for governor of Texas in 2022 election,The Guardian, Lean Left,"Beto O’Rourke, a former congressman, Senate candidate and contender for the Democratic presidential nomination, will run for governor of Texas next...",21,beto o’rourke congressman senate candidate contender democratic presidential nomination run governor texas ...,1
487,Bridging Divides- Right,34,5,Trump’s Bad Night,Rich Lowry, Right,"Glenn Youngkin did it his own way, barely mentioning the former president’s name, and still turned out MAGA voters in droves.

November 2 was a boffo...",26,glenn youngkin way barely mention president turn maga voter drove november 2 boffo ...,1
488,Bridging Divides - moderate,34,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...,23,democratic nominee virginia gubernatorial race terry mcauliffe accuse republican opponent glenn youngkin want[e ban book ...,1
489,Bridging Divides- Lean Left,34,1,Christie’s calculus: Trump is ‘in the rearview mirror’,Politico, Lean Left,"He doesn’t actually say the name Donald Trump when he lays out what’s wrong with the Republican Party.

But it’s obvious who Chris Christie is talking about...",27,actually donald trump lay ’ wrong republican party ’ obvious chris christie talk ...,1
490,Bridging Divides- Right,34,5,Virginia Secedes From Biden's Party,Pat Buchanan, Right,"""I don't think parents should be telling schools what they should teach.""

With this remark — arrogant, dismissive, contemptuous — in his debate with Glenn...",25,think parent tell school teach remark — arrogant dismissive contemptuous — debate glenn ...,1
491,Bridging Divides - moderate,34,3,Do election failures mark the end for 'defund the police'?,Yahoo! The 360,moderate,"After George Floyd was murdered by Minneapolis Police Officer Derek Chauvin in May 2020, the city became the epicenter of a nationwide movement pushing for...",25,george floyd murder minneapolis police officer derek chauvin 2020 city epicenter nationwide movement push ...,1
492,Bridging Divides- Left,34,2,Progressive coalition retools ahead of 2022,Vox, Left,"The Center for Popular Democracy, a nationwide alliance of progressive groups, is retooling for the 2022 midterm cycle with a new leadership team and a...",25,center popular democracy nationwide alliance progressive group retool 2022 midterm cycle new leadership team ...,1
493,Bridging Divides- Right,34,5,"House Republicans Inspired by Red Wave in VA, Target New House Seats for 2022: 'No Democrat Is Safe'",CBN, Right,"In the wake of Republican Glenn Youngkin's stunning victory in Virginia and a much closer-than-expected gubernatorial race in New Jersey, a traditional...",22,wake republican glenn youngkin stunning victory virginia close expect gubernatorial race new jersey traditional ...,1
494,Bridging Divides - moderate,34,3,"Joe Biden's Approval Rating Remains Dismal, Kamala Harris' Is Even Worse",Newsweek,moderate,President Joe Biden and Vice President Kamala Harris are continuing to suffer heavily in the polls following a week in which their party...,23,president joe biden vice president kamala harris continue suffer heavily poll follow week party ...,0
495,Business- Lean Left,35,1,Twitter will now let you pay to undo tweets and read ad-free news in the US,The Verge, Lean Left,"Twitter Blue, the company’s subscription service, is adding new features while expanding to new countries and platforms. The service first launched in...",22,twitter blue company subscription service add new feature expand new country platform service launch ...,1
496,Business- Lean Right,35,4,Mainstream media comes to the defense of 'Gender Queer' author after parents claim it features 'child pornography',The Post Millennial, Lean Right,A controversial book that caused firestorms of parental anger upon being found in the libraries of public schools from Virginia to Rhode Island...,23,controversial book cause firestorm parental anger find library public school virginia rhode island ...,1
497,Business - moderate,35,3,US journalist jailed in Myanmar for nearly 6 months is freed,Associated Press,moderate,"American journalist Danny Fenster, who was recently sentenced to 11 years of hard labor after spending nearly six months in jail in military-ruled Myanmar, was...",25,american journalist danny fenster recently sentence 11 year hard labor spend nearly month jail military rule myanmar ...,1
498,Business- Lean Left,35,1,Eight Things We Learned From The Facebook Papers,The Verge, Lean Left,"For months, Facebook has been shaken by a steady leak of documents from whistleblower Frances Haugen, beginning in The Wall Street Journal ...",23,month facebook shake steady leak document whistleblower frances haugen begin wall street journal ...,1
499,Business- Lean Right,35,4,McAuliffe team email says 'kill this' in response to Fox inquiry on election challenge,Washington Examiner, Lean Right,"A member of Terry McAuliffe's campaign for Virginia governor emailed ""kill this"" to a Fox News reporter inquiring about the hiring of a high-profile...",24,member terry mcauliffe campaign virginia governor email kill fox news reporter inquire hiring high profile ...,1
500,Business - moderate,35,3,Comcast Applauds Newly Passed Infrastructure Bill’s Focus on Broadband Access,Variety,moderate,The Comcast Corporation has released a statement applauding the House of Representatives’ final passage of a sweeping bipartisan infrastructure bill...,20,comcast corporation release statement applaud house representatives ’ final passage sweeping bipartisan infrastructure bill ...,1
501,Business- Lean Left,35,1,The Facebook Papers may be the biggest crisis in the company's history,CNN Business, Lean Left,"Facebook has confronted whistleblowers, PR firestorms and Congressional inquiries in recent years. But now it faces a combination of...",19,facebook confront whistleblower pr firestorm congressional inquiry recent year face combination ...,1
502,Business- Right,35,5,Legacy Media Fuels Corporate Wokeness But Will Always Choose Wokeness Over Corporations,The Federalist, Right,There’s a misconception that legacy media is an arm of the Democratic Party. There’s also a misconception that legacy media is pro-corporate. It’s true that...,25,’ misconception legacy medium arm democratic party ’ misconception legacy medium pro corporate ’ true ...,1
503,Business - moderate,35,3,Kansas Legislature edits video of public hearing to omit profane rant targeting a journalist,Poynter,moderate,"The Kansas State Legislature has altered video footage of a recent hearing to omit a profane rant targeting a journalist, raising questions about the...",24,kansas state legislature alter video footage recent hearing omit profane rant target journalist raise question ...,1
504,Business- Lean Left,35,1,"At Axel Springer, Politico’s New Owner, Allegations of Sex, Lies and a Secret Payment",New York Times (News), Lean Left,A high-level editor at the powerful German tabloid Bild was trying to break things off with a woman who was a junior employee at the paper. He was 36...,29,high level editor powerful german tabloid bild try break thing woman junior employee paper 36 ...,1
505,Business- Lean Right,35,4,Two Facebook tools suppressed traffic of conservative sites: Report,Washington Times, Lean Right,"One tool was abandoned, WSJ report on internal debates says.

Another one, known as “Informed Engagement,” reduced the reach of posts that were more likely...",25,tool abandon wsj report internal debate know informed engagement reduce reach post likely ...,1
506,Business - moderate,35,3,Media coverage of Tuesday’s election focuses on the dire state of Democrats,Poynter,moderate,"Doomsday for Democrats; a rebirth for Republicans.

That’s, basically, the media’s take on Tuesday’s Election Day. And that take was essentially based on two...",24,doomsday democrats rebirth republicans basically medium tuesday election day essentially base ...,1
507,Business- Lean Left,35,1,Ransomware attack hits owner of dozens of local news stations,NBC News (Online), Lean Left,"Sinclair Broadcast Group, the parent company of dozens of news stations across the U.S., was hit by ransomware over the weekend.

Sinclair said in a ...",26,sinclair broadcast group parent company dozen news station u.s. hit ransomware weekend sinclair ...,1
508,Business- Lean Right,35,4,New York Times columnist leaves paper to run for Oregon governor,Washington Examiner, Lean Right,"A New York Times columnist boasting decades of experience with words is now trying to convince his state that he can put them into action.

On...",26,new york times columnist boasting decade experience word try convince state action ...,1
509,Business - moderate,35,3,‘Does Facebook reward outrage?’ What leaked papers show the company knew.,Christian Science Monitor,moderate,"Facebook, the social media behemoth with more than 2.8 billion users worldwide, has been weathering storms of criticism ever since its founder Mark...",23,facebook social medium behemoth 2.8 billion user worldwide weather storm criticism founder mark ...,1
510,Campaign Finance- Lean Left,36,1,Deficit ‘prediction’ for infrastructure bill varies widely from estimates,PolitiFact, Lean Left,"The day after the House passed an infrastructure bill and sent it to President Joe Biden to be signed, conservative podcast host Dan Bongino attacked...",25,day house pass infrastructure bill send president joe biden sign conservative podcast host dan bongino attack ...,0
511,Campaign Finance- Right,36,5,Joe Biden ‘Got a Handle on COVID’,Washington Free Beacon, Right,"CLAIM:

""Biden got a handle on COVID.""

— David Corn, D.C. bureau chief of Mother Jones

The lib reporter made the assertion on Twitter in...",25,claim biden handle covid — david corn d.c. bureau chief mother jones lib reporter assertion twitter ...,1
512,Campaign Finance - moderate,36,3,Electric Vehicle Tax Credits in Democratic Plan,FactCheck.org,moderate,"The House’s current Build Back Better plan calls for extending a $7,500 tax credit for the purchase of electric vehicles, and it includes an additional $4,500...",26,"house current build better plan extend 7,500 tax credit purchase electric vehicle include additional 4,500 ...",1
513,Campaign Finance- Left,36,2,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...,23,new national television ad house republicans campaign arm deceptively use image event occur president donald trump time ...,1
514,Campaign Finance- Right,36,5,Democrat Cindy Axne Falsely Claims Biden’s $1.75T Agenda Will Cost Iowans ‘Literally Nothing’,Breitbart Fact Check, Right,"CLAIM: Democrat Rep. Cindy Axne (D-IA) claimed last week that President Joe Biden’s Build Back Better agenda will cost Iowans “literally nothing.”

VERDICT:...",23,claim democrat rep. cindy axne d ia claim week president joe biden build better agenda cost iowans literally verdict ...,0
515,Campaign Finance - moderate,36,3,Can Colorado Hospitals Turn Away Unvaccinated Patients?,The Dispatch Fact Check,moderate,"An article from Red Voice Media, self-described as being owned by “patriots” and fighting “false narratives against conservatives,” claims that...",20,article red voice media self describe patriot fight false narrative conservative claim ...,1
516,Campaign Finance- Lean Left,36,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the...",25,june 23 2021 political facebook post share thousand time screenshot post misrepresent ...,1
517,Campaign Finance- Right,36,5,For Whom Do the Covid “Fact Checkers” Really Work?,Brownstone Institute, Right,"There are two types of COVID19 survivors— those who have documented recovery from sars-cov-2 (either PCR, antigen or serology + tests) or those who have self-...",26,type covid19 survivor — document recovery sars cov-2 pcr antigen serology test self- ...,1
518,Campaign Finance - moderate,36,3,Aaron Rodgers’ Inaccurate COVID-19 Claims,FactCheck.org,moderate,"Aaron Rodgers, the star quarterback of the Green Bay Packers, made headlines when he contracted COVID-19 and then defended his decision not to get vaccinated...",25,aaron rodgers star quarterback green bay packers headline contract covid-19 defend decision vaccinate ...,1
519,Campaign Finance- Lean Left,36,1,Canceling student loan debt would cost the federal government billions,USA TODAY, Lean Left,"Since President Joe Biden took office, his administration has canceled billions of dollars in student loan debt. Most recently, in early October...",22,president joe biden office administration cancel billion dollar student loan debt recently early october ...,0
520,Campaign Finance- Lean Right,36,4,Beware People Trying to Dismiss Jack Dorsey's Inflation Analysis as Disinformation,Reason, Lean Right,"I hope you squirreled away that cool 16 cents you saved on your Fourth of July barbeque this year. Across the board, prices seem to be going up...",28,hope squirrele away cool 16 cent save fourth july barbeque year board price ...,1
521,Campaign Finance - moderate,36,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...,23,democratic nominee virginia gubernatorial race terry mcauliffe accuse republican opponent glenn youngkin want[e ban book ...,1
522,Campaign Finance- Lean Left,36,1,Unpacking the noise around Dr. Anthony Fauci and beagle experiments,PolitiFact, Lean Left,"If you’ve seen media reports or social media postings about beagle puppies and Dr. Anthony Fauci, the White House’s chief medical adviser, you might be...",25,media report social medium posting beagle puppy dr. anthony fauci white house chief medical adviser ...,1
523,Campaign Finance- Lean Right,36,4,Journalist Butchery of School Board Protests Upending Politics in Virginia and Elsewhere,Reason, Lean Right,The media pile-on atop Sen. Ted Cruz (R–Texas) for his comments Wednesday characterizing mock Nazi salutes at school board meetings as First...,22,medium pile atop sen. ted cruz r – texas comment wednesday characterize mock nazi salute school board meeting ...,1
524,Campaign Finance - moderate,36,3,Biden Botches Virginia Election History,FactCheck.org,moderate,"Seeking to deflect the significance of Democrat Terry McAuliffe’s loss in the Virginia governor’s race to Republican Glenn Youngkin, President Joe Biden...",22,seek deflect significance democrat terry mcauliffe loss virginia governor race republican glenn youngkin president joe biden ...,0
525,Campaign Rhetoric- Lean Left,37,1,Justice Department sues Texas over restrictive voting law,NBC News (Online), Lean Left,The Justice Department is suing Texas over key components of the state's Republican-led voting law that federal officials say are in...,21,justice department sue texas key component state republican lead voting law federal official ...,1
526,Campaign Rhetoric- Right,37,5,"In ‘Deep Blue’ New York, Voters Reject Democrats’ Push for Election Changes",The Daily Signal, Right,"In one of the bluest states in the nation, voters soundly rejected proposed changes to election law that congressional Democrats are trying to impose...",24,blue state nation voter soundly reject propose change election law congressional democrats try impose ...,1
527,Campaign Rhetoric - moderate,37,3,Rigged Voting Machines? Chinese Hacking? Local Fraud? Officials Kept Digging,Newsweek,moderate,"On Monday, November 16th, Attorney General William Barr and FBI Director Christopher Wray were worried enough about Donald Trump...",19,monday november 16th attorney general william barr fbi director christopher wray worry donald trump ...,1
528,Campaign Rhetoric- Lean Left,37,1,Democrats Face Economic Gut-Check After GOP Taps Voters’ Angst,Bloomberg, Lean Left,"Democrats will argue for months about what led to their defeat at the ballot box on Tuesday -- whether it was their messaging, their candidates or their...",27,democrats argue month lead defeat ballot box tuesday -- messaging candidate ...,1
529,Campaign Rhetoric- Lean Right,37,4,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in...",24,politician high year plus wield extraordinary power approval voter fearful viral infection democrats ...,1
530,Campaign Rhetoric - moderate,37,3,U.S. Justice Dept sues Texas over law curbing voting,Reuters,moderate,"The U.S. Justice Department filed a lawsuit against Texas on Thursday over a state law that places strict curbs on voting by mail, in the latest effort by the...",29,u.s. justice department file lawsuit texas thursday state law place strict curb vote mail late effort ...,1
531,Campaign Rhetoric- Lean Left,37,1,Republicans Block a Second Voting Rights Bill in the Senate,New York Times (News), Lean Left,"Senate Republicans on Wednesday blocked legislation to restore parts of the landmark Voting Rights Act weakened by Supreme Court rulings, making it the second...",24,senate republicans wednesday block legislation restore landmark voting rights act weaken supreme court ruling second ...,1
532,Campaign Rhetoric- Right,37,5,Justice Department sues Texas over election integrity legislation,Fox News (Online News), Right,"The Department of Justice announced Thursday that it filed a lawsuit against Texas, targeting a state law that proponents say aims to make...",23,department justice announce thursday file lawsuit texas target state law proponent aim ...,1
533,Campaign Rhetoric - moderate,37,3,Justice Department Sues Texas Over Voting Law,AllSides Headline Roundup,moderate,The Justice Department filed a lawsuit on Thursday alleging that Texas’ controversial voting law violates the Civil Rights Act of 1964 and the Voting Rights...,25,justice department file lawsuit thursday allege texas controversial voting law violate civil rights act 1964 voting rights ...,1
534,Campaign Rhetoric- Left,37,2,"Republicans Once Supported the Voting Rights Act. Today, They Voted Against its Restoration.",Mother Jones, Left,"On Wednesday afternoon, GOP senators blocked Democrats from advancing a key voting rights bill, the John Lewis Voting Rights Advancement Act, marking the...",23,wednesday afternoon gop senator block democrats advance key voting right bill john lewis voting rights advancement act mark ...,1
535,Campaign Rhetoric- Lean Right,37,4,Senate GOP blocks federal election law debate for fourth time this year,New York Post (News), Lean Right,"Senate Democrats tried and failed once again Wednesday to begin debate on a bill that would radically revamp America’s election laws, as all but two...",25,senate democrats try fail wednesday begin debate bill radically revamp america election law ...,1
536,Campaign Rhetoric - moderate,37,3,Media coverage of Tuesday’s election focuses on the dire state of Democrats,Poynter,moderate,"Doomsday for Democrats; a rebirth for Republicans.

That’s, basically, the media’s take on Tuesday’s Election Day. And that take was essentially based on two...",24,doomsday democrats rebirth republicans basically medium tuesday election day essentially base ...,1
537,Campaign Rhetoric- Lean Left,37,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the...",25,june 23 2021 political facebook post share thousand time screenshot post misrepresent ...,1
538,Campaign Rhetoric- Right,37,5,"‘Our Broken Elections’: Who Broke Them and Why, and How to Fix Them",The Daily Signal, Right,"Election integrity is a fundamental requirement of a functioning democratic republic.

In the freest nation in the world, our system of government and our...",24,election integrity fundamental requirement function democratic republic free nation world system government ...,1
539,Campaign Rhetoric - moderate,37,3,U.S. Senate Democrats fail in latest bid to debate voting rights bill,Reuters,moderate,"U.S. Senate Democrats on Wednesday failed to advance voting-rights legislation for the fourth time this year due to overwhelming Republican opposition, raising...",22,u.s. senate democrats wednesday fail advance voting right legislation fourth time year overwhelming republican opposition raise ...,1
540,Capital Punishment and Death Penalty- Lean Left,38,1,Jurors Hear Closing Arguments in Kyle Rittenhouse Trial,New York Times (News), Lean Left,A prosecutor hoping to send Kyle Rittenhouse to prison made closing arguments in his homicide trial on Monday. The jury was expected to begin weighing later in...,27,prosecutor hope send kyle rittenhouse prison closing argument homicide trial monday jury expect begin weigh later ...,1
541,Capital Punishment and Death Penalty- Right,38,5,Rittenhouse defense criticizes prosecution's provocation charge in closing arguments: LIVE UPDATES,Fox News (Online News), Right,"Rittenhouse faces charges including first-degree intentional homicide, which is Wisconsin’s murder count; attempted first-degree intentional homicide;...",16,rittenhouse face charge include degree intentional homicide wisconsin murder count attempt degree intentional homicide ...,1
542,Capital Punishment and Death Penalty - moderate,38,3,Watch live: Closing arguments are underway in the Kyle Rittenhouse homicide trial,NPR (Online News),moderate,"Prosecutors and defense lawyers are making their closing arguments in the criminal trial of Kyle Rittenhouse, the 18-year-old who is charged with homicide...",23,prosecutor defense lawyer closing argument criminal trial kyle rittenhouse 18 year old charge homicide ...,1
543,Capital Punishment and Death Penalty- Lean Left,38,1,Jurors Hear Closing Arguments in Kyle Rittenhouse Trial,New York Times (News), Lean Left,A prosecutor hoping to send Kyle Rittenhouse to prison made closing arguments in his homicide trial on Monday. The jury was expected to begin weighing later in...,27,prosecutor hope send kyle rittenhouse prison closing argument homicide trial monday jury expect begin weigh later ...,1
544,Capital Punishment and Death Penalty- Right,38,5,Rittenhouse defense criticizes prosecution's provocation charge in closing arguments: LIVE UPDATES,Fox News (Online News), Right,"Rittenhouse faces charges including first-degree intentional homicide, which is Wisconsin’s murder count; attempted first-degree intentional homicide;...",16,rittenhouse face charge include degree intentional homicide wisconsin murder count attempt degree intentional homicide ...,1
545,Capital Punishment and Death Penalty - moderate,38,3,Closing Arguments Made in Kyle Rittenhouse Case,AllSides Headline Roundup,moderate,"Prosecutors and defense lawyers delivered their closing arguments in the murder trial of Kyle Rittenhouse on Monday. Rittenhouse, now 18, faces six charges —...",24,prosecutor defense lawyer deliver closing argument murder trial kyle rittenhouse monday rittenhouse 18 face charge — ...,1
546,Capital Punishment and Death Penalty- Lean Left,38,1,Kenosha hopes for calm as Kyle Rittenhouse trial nears end,NBC News (Online), Lean Left,"KENOSHA, Wis. — This city on Lake Michigan was quiet, calm and peaceful on Sunday, and many residents want it to remain that way as closing arguments in the...",29,kenosha wis. — city lake michigan quiet calm peaceful sunday resident want remain way closing argument ...,1
547,Capital Punishment and Death Penalty- Lean Right,38,4,Alex Jones liable for defamation in Sandy Hook ‘hoax’ lawsuits,New York Post (News), Lean Right,"Infowars host and conspiracy theorist Alex Jones has been found liable for defamation after claiming the Sandy Hook school massacre was a “hoax,” a judge ruled...",26,infowar host conspiracy theorist alex jones find liable defamation claim sandy hook school massacre hoax judge rule ...,1
548,Capital Punishment and Death Penalty - moderate,38,3,Trump dismisses rioters' calls to hang Pence: 'People were very angry',The Hill,moderate,"Former President Trump argued that then-Vice President Mike Pence was ""well-protected"" during the Jan. 6 riot and defended angry chants...",20,president trump argue vice president mike pence protect jan. 6 riot defend angry chant ...,0
549,Capital Punishment and Death Penalty- Lean Left,38,1,"Menace, as a Political Tool, Enters the Republican Mainstream",New York Times (News), Lean Left,"Threats of violence have become commonplace among a significant part of the party, as historians and those who study democracy warn of a dark shift in American...",27,threat violence commonplace significant party historian study democracy warn dark shift american ...,1
550,Capital Punishment and Death Penalty- Right,38,5,Appeals Court Blocks January 6 Committee Access To Trump White House Documents,The Daily Caller, Right,The D.C. Circuit Court of Appeals granted a request from former President Donald Trump to block the January 6 Committee’s access to his White House’s records...,26,d.c. circuit court appeals grant request president donald trump block january 6 committee access white house record ...,0
551,Capital Punishment and Death Penalty - moderate,38,3,Appeals court temporarily blocks archives from handing Trump records to Jan. 6 committee,The Hill,moderate,A federal appeals court on Thursday intervened to temporarily block the National Archives from handing over Trump administration records to the House...,22,federal appeal court thursday intervene temporarily block national archives hand trump administration record house ...,1
552,Capital Punishment and Death Penalty- Left,38,2,What Kyle Rittenhouse's tears reveal about America,CNN (Opinion), Left,"Despite last year's demonstrations supporting racial justice and substantive efforts at political reform, the system that devalues Black lives remains largely...",21,despite year demonstration support racial justice substantive effort political reform system devalue black life remain largely ...,1
553,Capital Punishment and Death Penalty- Lean Right,38,4,Won’t back down: Adams vows return of NYPD gun unit after BLM ‘bloodshed’ threat,New York Post (News), Lean Right,"Message to BLM: Eric Adams is not backing down.

The Big Apple mayor-elect doubled down on his campaign promise to reinstate the NYPD’s plainclothes unit a...",26,message blm eric adams big apple mayor elect double campaign promise reinstate nypd plainclothe unit ...,1
554,Capital Punishment and Death Penalty - moderate,38,3,Appeals Court Temporarily Blocks Jan. 6 Committee's Request for Trump Records,AllSides Headline Roundup,moderate,A federal appeals court granted former President Donald Trump's request Thursday to temporarily block the National Archives from sending his White House...,22,federal appeal court grant president donald trump request thursday temporarily block national archives send white house ...,0
555,China- Lean Left,39,1,"Twitter flags GOP lawmaker's anime video depicting him killing Ocasio-Cortez, attacking Biden as 'hateful conduct'",NBC News (Online), Lean Left,"Twitter added a warning label Monday to a tweet from a Republican lawmaker that depicted an animated killing of Rep. Alexandria Ocasio-Cortez, D-N.Y...",23,twitter add warning label monday tweet republican lawmaker depict animate killing rep. alexandria ocasio cortez d n.y ...,1
556,China- Right,39,5,Free-Speech Entrepreneurs,City Journal, Right,"When video-sharing platform Rumble announced in August that it had struck deals with such prominent figures as Glenn Greenwald and Tulsi Gabbard, it marked a...",25,video share platform rumble announce august strike deal prominent figure glenn greenwald tulsi gabbard mark ...,1
557,China - moderate,39,3,"Supreme Court wrestles with limits on digital billboard ads, free speech",The Hill,moderate,The Supreme Court on Wednesday wrestled with where to draw the line between a town’s right to restrict garish billboard ads and constitutional free speech...,25,supreme court wednesday wrestle draw line town right restrict garish billboard ad constitutional free speech ...,1
558,China- Lean Left,39,1,We need to do a better job teaching citizens about the First Amendment,USA TODAY, Lean Left,"For a country that purports to value our First Amendment right to freedom of speech, it has become clear that some of our elected officials don’t understand it...",28,country purport value amendment right freedom speech clear elect official understand ...,1
559,China- Lean Right,39,4,FBI Raid of James O'Keefe's House Is a Blow to Press Freedom,Robby Soave, Lean Right,"The FBI searched the home of James O'Keefe—a conservative activist who films undercover videos for his organization, Project Veritas—on Saturday, reportedly...",21,fbi search home james o'keefe — conservative activist film undercover video organization project veritas — saturday reportedly ...,1
560,China - moderate,39,3,Leaks Fuel Continued Scrutiny of Facebook From Across the Spectrum,AllSides Headline Roundup,moderate,Thousands of leaked internal Facebook documents continue to fuel news reports about the company and its alleged neglect of the platform's negative effects on...,24,thousand leak internal facebook document continue fuel news report company alleged neglect platform negative effect ...,1
561,China- Left,39,2,"Revealed; Facebook's Secret Blacklist of ""Dangerous Individuals and Organizations""",The Intercept, Left,"TO WARD OFF accusations that it helps terrorists spread propaganda, Facebook has for many years barred users from speaking freely about people and groups...",24,ward accusation help terrorist spread propaganda facebook year bar user speak freely people group ...,1
562,China- Lean Right,39,4,Why Are the Media Treating 'Let's Go Brandon' Like Criminal Hate Speech?,Reason, Lean Right,"Last month, NBC reporter Kelli Stavast was interviewing NASCAR driver Brandon Brown following his victory in the NASCAR Xfinity Series Sparks 300 race when...",24,month nbc reporter kelli stavast interview nascar driver brandon brown follow victory nascar xfinity series sparks 300 race ...,1
563,China - moderate,39,3,LinkedIn to shut down app in China following censorship controversy,Axios,moderate,"LinkedIn on Thursday said it will sunset the localized version of its app in China and will instead launch a new job boards app called ""InJobs"" later this year...",29,linkedin thursday sunset localize version app china instead launch new job board app injobs later year ...,1
564,China- Lean Left,39,1,No evidence whistleblower Frances Haugen was planted by Facebook,PolitiFact, Lean Left,"A viral image circulating on social media baselessly claimed that former Facebook employee Frances Haugen, who turned over troves of internal company...",22,viral image circulate social medium baselessly claim facebook employee frances haugen turn trove internal company ...,1
565,China- Right,39,5,Hong Kong Passes Film Censorship Law,The Daily Wire, Right,The legislature of Hong Kong passed a new law allowing censorship of certain films in the most recent move to infringe upon the liberties of people in the...,28,legislature hong kong pass new law allow censorship certain film recent infringe liberty people ...,1
566,China - moderate,39,3,"Google, YouTube to prohibit ads and monetization on climate denial content",Axios,moderate,Google and YouTube on Thursday announced a new policy that prohibits climate deniers from being able to monetize their content on its platforms via ads or...,26,google youtube thursday announce new policy prohibit climate denier able monetize content platform ad ...,1
567,China- Lean Left,39,1,Google and YouTube will cut off ad money for climate change deniers,The Verge, Lean Left,"Google will no longer allow advertisers, publishers, and YouTube creators to monetize content that denies the existence of climate change. The company detailed...",23,google long allow advertiser publisher youtube creator monetize content deny existence climate change company detail ...,1
568,China- Lean Right,39,4,MIT Canceled a Professor's Guest Lecture Because He Opposes Race-Based Admissions,Reason, Lean Right,Dorian Abbot is a geophysicist at the University of Chicago. The Massachusetts Institute of Technology (MIT) invited him to deliver a guest lecture on climate...,25,dorian abbot geophysicist university chicago massachusetts institute technology mit invite deliver guest lecture climate ...,1
569,China - moderate,39,3,"Google, YouTube to Demonetize Content That Contradicts Climate Change Science",AllSides Headline Roundup,moderate,"Google will begin preventing advertisers, publishers, and YouTube creators from monetizing content that goes against ""well-established scientific consensus on...",19,google begin prevent advertiser publisher youtube creator monetize content establish scientific consensus ...,1
570,CIA- Lean Left,40,1,"Death threats, tweets jolt GOP infrastructure supporters",Associated Press Politics & Fact Check, Lean Left,"The last time Congress approved a major renewal of federal highway and other transportation programs, the votes were 359-65 in the House and 83-16 in the...",26,time congress approve major renewal federal highway transportation program vote 359 65 house 83 16 ...,1
571,CIA- Right,40,5,"How 31 Republicans Just Betrayed The Country To Reward Illegal Immigration, Worsen Inflation, And Pay Off Democrats’ Donors ",The Federalist, Right,A vote for the bipartisan infrastructure bill is a vote for Biden's reconciliation legislation -- the largest cradle-to-grave expansion of federal power since...,23,vote bipartisan infrastructure bill vote biden reconciliation legislation -- large cradle grave expansion federal power ...,1
572,CIA - moderate,40,3,Biden Celebrates After Congress Passes $1.2T Bipartisan Infrastructure Bill,AllSides Headline Roundup,moderate,President Joe Biden on Saturday morning called Congress’ passage of his administration's $1.2 trillion infrastructure package a “monumental step forward for...,21,president joe biden saturday morning congress passage administration 1.2 trillion infrastructure package monumental step forward ...,0
573,CIA- Lean Left,40,1,"Dems vow to plow forward on Biden agenda, even after election faceplants",Politico, Lean Left,"Joe Biden suffered his first major political lashing as president Tuesday.

But even as Democrats were processing a battering in the Virginia governor’s race...",24,joe biden suffer major political lashing president tuesday democrats process battering virginia governor race ...,0
574,CIA- Right,40,5,Republicans Primed To ‘Comfortably Take Back’ Congress In 2022 After Democrats’ Election Disaster,The Daily Wire, Right,"Republicans’ routing of Democrats in Virginia and their strong showing in New Jersey on Tuesday night may signal a GOP takeover of Congress next year.

In...",26,republicans ’ routing democrats virginia strong showing new jersey tuesday night signal gop takeover congress year ...,1
575,CIA - moderate,40,3,Progressives declare victory in spending bill fight,The Hill,moderate,"Progressives are declaring victory ahead of a possible vote Thursday on President Biden’s social spending and climate package, while saying they shouldn’t...",22,progressive declare victory ahead possible vote thursday president biden social spending climate package ...,0
576,CIA- Left,40,2,Pramila Jayapal is one of the most powerful leaders on Capitol Hill right now,CNN (Online News), Left,Democratic Rep. Pramila Jayapal has risen quickly in the ranks of Washington to become a powerful progressive leader on Capitol Hill since first...,23,democratic rep. pramila jayapal rise quickly rank washington powerful progressive leader capitol hill ...,1
